elevation_0;elevation_1;elevation_17;elevation_17;elevation_17;elevation_17;elevation_17;elevation_17;elevation_17;elevation_17;elevation_17;elevation_17;elevation_1;elevation_1;elevation_1;elevation_1;elevation_1;elevation_1;elevation_1;elevation_2
elevation_4;elevation_6;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_13.flat_11;elevation_8;elevation_5;elevation_5;elevation_5;elevation_5;elevation_5;elevation_5;elevation_6
elevation_4;elevation_6;flat_11.castle_blue;flat_11.support_blue;flat_11;flat_11.tower_blue;flat_11;flat_11;flat_11.tower_blue;flat_11;flat_11;flat_11;elevation_12.flat_11;elevation_8;elevation_5;elevation_5;elevation_5;elevation_5;elevation_5;elevation_6
elevation_4;elevation_6;flat_11.support_blue;flat_11.player;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_12.flat_11;elevation_8;elevation_5;elevation_5;elevation_5;elevation_5;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_12.flat_11;elevation_8;elevation_5;elevation_5;elevation_5;elevation_6
elevation_4;elevation_6;flat_11.tower_blue;flat_11;flat_11;flat_11.tower_blue;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_12.flat_11;elevation_8;elevation_5;elevation_5;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_12.flat_11;elevation_8;elevation_5;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_12.flat_11;elevation_5;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.indicator_blue;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_6;flat_11.tower_blue;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.tower_blue;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.tower_red;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.tower_red;elevation_4;elevation_6
elevation_4;elevation_6;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.indicator_red;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_5;elevation_2.flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_5;elevation_5;elevation_2.flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_5;elevation_5;elevation_5;elevation_2.flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.tower_red;flat_11;flat_11;flat_11.tower_red;elevation_4;elevation_6
elevation_4;elevation_5;elevation_5;elevation_5;elevation_5;elevation_2.flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;elevation_4;elevation_6
elevation_4;elevation_5;elevation_5;elevation_5;elevation_5;elevation_5;elevation_2.flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11;flat_11.warrior_red;flat_11.support_red;elevation_4;elevation_6
elevation_4;elevation_5;elevation_5;elevation_5;elevation_5;elevation_5;elevation_5;elevation_2.flat_11;flat_11;flat_11;flat_11;flat_11.tower_red;flat_11;flat_11;flat_11.tower_red;flat_11;flat_11.support_red;flat_11.castle_red;elevation_4;elevation_6
elevation_8;elevation_9;elevation_9;elevation_9;elevation_9;elevation_9;elevation_9;elevation_9;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_17.flat_11;elevation_4;elevation_10
elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22;elevation_22
